Variable 1,Variable 2,Coeficient,p-value
P2,P16,0.4527539319478657,7.726433361490227e-11
P3,P5,0.4378629723897246,3.6847080640258046e-10
P3,P10,0.4275072025449599,1.0452302224895538e-09
P8,P11,0.41975669824432954,2.2296554551206154e-09
P1,P10,0.4069140617514631,7.505582905951175e-09
P2,P3,0.38667299357655893,4.594118277718949e-08
P5,P16,0.38651715173605605,4.6564764746376996e-08
P1,P3,0.3836844513902987,5.942345937531661e-08
P4,P7,0.3598882387197832,4.2159099797219956e-07
P1,P2,0.3552217268968795,6.079435262482612e-07
P3,P8,0.3329656627784385,3.220008157625272e-06
P3,P16,0.33012960581422807,3.94591178240335e-06
P5,P8,0.32793717293748514,4.611042385068609e-06
P2,P10,0.3238142489097226,6.160394014393322e-06
P9,P12,0.3227358811666296,6.64067306937795e-06
P1,P5,0.3183787103492234,8.96768126281442e-06
P5,P10,0.31414454890208915,1.1954510373863985e-05
P10,P16,0.3064908724339235,1.988088891202654e-05
P5,P6,0.3012376692098959,2.7960149913810112e-05
