Variable 1,Variable 2,Coeficient,p-value
P3,P5,0.4277422747726948,1.0211791536111595e-09
P2,P16,0.4081995619580106,6.6621548356611054e-09
P1,P10,0.4009065445167749,1.3014689469853475e-08
P3,P10,0.4003195709928429,1.37257912310036e-08
P8,P11,0.3851862230672146,5.2232267675715025e-08
P3,P8,0.3790260748492377,8.829699792832474e-08
P1,P3,0.36849734218231983,2.1129931288318975e-07
P5,P16,0.3601006957755261,4.145655461111795e-07
P5,P8,0.35684156767568637,5.357570485874509e-07
P2,P3,0.35418640072662677,6.588561786100604e-07
P4,P7,0.3336173427483383,3.0721659589470997e-06
P5,P6,0.32683913888929483,4.982929906441068e-06
P2,P10,0.3099036121845997,1.5874171578622547e-05
P9,P12,0.30877607976110216,1.710483270850215e-05
P5,P10,0.30533429182283073,2.144309677757404e-05
P12,P14,0.3039533423765865,2.3460176051228123e-05
P1,P2,0.3032714175311664,2.4521043046561027e-05
