,RC1,RC2,RC3,RC4
freq_ús,0.108,0.461,-0.067,-0.056
coneixement,0.309,0.151,0.018,-0.162
comprensio,0.375,0.142,-0.056,-0.040
retenció,0.401,-0.213,0.140,0.055
rendiment,0.356,0.103,-0.049,0.108
profunditat,0.469,-0.179,0.062,0.038
confiança,0.102,0.116,0.644,0.086
correlacio,0.334,0.077,-0.106,-0.341
dependencia,-0.065,0.132,-0.094,-0.545
millora_experiencia,0.130,0.104,-0.172,0.441
influencia_estrategia,-0.112,0.547,-0.002,0.301
preocupacio_critic,-0.149,0.417,0.285,-0.321
recomanaria_IA,0.226,0.327,-0.054,0.070
impacte_semestre,0.048,-0.072,0.545,0.035
tria_examen,0.079,0.062,-0.345,0.044
anys_centre,0.082,-0.138,-0.047,-0.370
